RA,Nome,Gênero,Turma,Escola,Instituição de ensino,Ativo/ Inativo,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2024,INDE 2022,INDE 2023,INDE 2024,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Avaliador4,Avaliador5,Avaliador6,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-1029,Aluno-1029,Feminino,1C,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,1C,Fase 2 (5° e 6° ano),-1,Ametista,,7.058533333,7.797790909100001,2014-02-22 00:00:00,10,,,,Ametista,,,,2,Avaliador-3,,Avaliador-15,,,,,,9.002,8.7954545455,6.885,7.5,,8.75,8.0,9.5,,,,7.25,5.0,,,,2024
RA-103,Aluno-103,Feminino,5A,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,5A,Fase 5 (1° EM),0,Topázio,8.107440578115117,8.0239,8.775268254,2009-05-17 00:00:00,15,Ágata,Ametista,Topázio,Topázio,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-26,Avaliador-1,Avaliador-7,,8.334,9.603174603333335,6.26,7.875,,9.166666666666666,9.0,9.0,9.5,,,8.872,10.0,,,,2024
RA-1030,Aluno-1030,Masculino,2D,EE Paschoal Carlos Magno,Pública,Cursando,2023,2D,Fase 2 (5° e 6° ano),0,Ametista,,7.4027,7.7401916040000005,2012-08-10 00:00:00,12,,,,Ametista,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,7.418,8.28320802,4.385,7.8125,,8.0,10.0,6.0,,,,7.61,10.0,,,,2024
RA-1031,Aluno-1031,Masculino,1C,EE Joaquim Mendes Feliz,Pública,Cursando,2023,1C,Fase 2 (5° e 6° ano),-1,Agata,,7.0602,6.8757227273,2013-03-13 00:00:00,11,,,,Ametista,,,,2,Avaliador-3,,Avaliador-15,,,,,,9.502,8.6363636365,7.51,5.3125,,6.25,5.5,7.0,,,,5.83,5.0,,,,2024
RA-1032,Aluno-1032,Masculino,1C,EE Joaquim Mendes Feliz,Pública,Cursando,2023,1C,Fase 2 (5° e 6° ano),-1,Topázio,,7.434033333,8.01645,2013-06-05 00:00:00,11,,,,Ametista,,,,2,Avaliador-3,,Avaliador-15,,,,,,8.502,9.75,7.51,7.8125,,8.0,9.0,7.0,,,,7.92,5.0,,,,2024
RA-1034,Aluno-1034,Masculino,2B,EE Alexandre Rodrigues Nogueira,Pública,Cursando,2023,2B,Fase 2 (5° e 6° ano),0,Topázio,,7.9642,8.0333666666,2013-04-15 00:00:00,11,,,,Ametista,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,7.502,8.0833333335,7.51,7.708333333,,7.5,7.5,7.5,,,,8.223333333,10.0,,,,2024
RA-1035,Aluno-1035,Masculino,1C,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,1C,Fase 2 (5° e 6° ano),-1,Ametista,,6.888833333,7.833495454500001,2014-01-31 00:00:00,10,,,,Agata,,,,2,Avaliador-3,,Avaliador-15,,,,,,9.502,9.0227272725,7.51,8.4375,,7.0,6.5,7.5,,,,7.92,5.0,,,,2024
RA-1036,Aluno-1036,Feminino,2H,EE João Ortiz Rodrigues,Pública,Cursando,2023,2H,Fase 2 (5° e 6° ano),0,Topázio,,6.970583333,8.2841303831,2012-07-18 00:00:00,12,,,,Agata,,,,4,Avaliador-19,,Avaliador-17,,Avaliador-25,Avaliador-2,,,10.002,9.0890269155,7.51,7.65625,,7.0,7.0,7.0,,,,7.7475,10.0,,,,2024
RA-1038,Aluno-1038,Feminino,2I,EE Dom Pedro Villas Boas de Souza,Pública,Cursando,2023,2I,Fase 2 (5° e 6° ano),0,Ametista,,7.736825,7.9646385965,2013-07-21 00:00:00,11,,,,Ametista,,,,3,Avaliador-19,,Avaliador-17,,Avaliador-2,,,,8.002,7.5438596495,7.51,7.5,,8.5,10.0,7.0,,,,7.273333333,10.0,,,,2024
RA-1039,Aluno-1039,Masculino,2I,EE Joaquim Mendes Feliz,Pública,Cursando,2023,2I,Fase 3 (7° e 8° ano),-1,Ametista,,7.686033333,7.549644444400001,2011-08-05 00:00:00,13,,,,Ametista,,,,3,Avaliador-19,,Avaliador-17,,Avaliador-2,,,,8.002,9.722222222,7.51,7.5,,7.25,8.0,6.5,,,,6.77,5.0,,,,2024
RA-1040,Aluno-1040,Masculino,2I,EE Joaquim Mendes Feliz,Pública,Cursando,2023,2I,Fase 3 (7° e 8° ano),-1,Ametista,,7.81545,7.764199999900001,2011-12-06 00:00:00,12,,,,Ametista,,,,3,Avaliador-19,,Avaliador-17,,Avaliador-2,,,,9.502,8.5416666665,7.51,7.5,,8.25,8.0,8.5,,,,7.273333333,5.0,,,,2024
RA-1043,Aluno-1043,Masculino,1H,EE João Ortiz Rodrigues,Pública,Cursando,2023,1H,Fase 2 (5° e 6° ano),-1,Ametista,,6.5447,7.539847562500002,2013-06-29 00:00:00,11,,,,Agata,,,,3,Avaliador-3,,Avaliador-16,,Avaliador-15,,,,10.002,7.994071146,7.51,7.291666667,,8.25,8.5,8.0,,,,6.553333333,5.0,,,,2024
RA-1044,Aluno-1044,Feminino,2G,EE Olivia de Faria Nogueira,Pública,Cursando,2023,2G,Fase 2 (5° e 6° ano),0,Ametista,,7.629533333,7.966711904800001,2013-04-24 00:00:00,11,,,,Ametista,,,,4,Avaliador-19,,Avaliador-16,,Avaliador-25,Avaliador-2,,,7.502,9.523809524,7.51,7.1875,,7.0,7.0,7.0,,,,7.21,10.0,,,,2024
RA-1048,Aluno-1048,Feminino,2A,Estuda em outra cidade,Privada,Cursando,2023,2A,Fase 1 (3° e 4° ano),1,Ametista,,7.811366667,7.5198666666000005,2013-07-20 00:00:00,11,,,,Ametista,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,8.502,6.833333333500001,6.255,7.708333333,,6.25,6.5,6.0,,,,8.283333333,10.0,,,,2024
RA-1049,Aluno-1049,Masculino,1J,EE João Ortiz Rodrigues,Pública,Cursando,2023,1J,Fase 2 (5° e 6° ano),-1,Agata,,7.443366667,6.821885606,2013-06-17 00:00:00,11,,,,Ametista,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,9.502,8.03030303,7.51,7.65625,,4.5,4.0,5.0,,,,6.745,5.0,,,,2024
RA-1052,Aluno-1052,Masculino,1J,EM Maria Ignez Concelles Irma Ines,Pública,Cursando,2023,1J,Fase 2 (5° e 6° ano),-1,Ametista,,6.960333333,7.744032575800001,2014-06-04 00:00:00,10,,,,Agata,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,5.834,9.128787879,6.26,8.59375,,8.25,8.5,8.0,,,,8.4975,5.0,,,,2024
RA-1054,Aluno-1054,Masculino,2G,EE Leonice de Aquino Oliveira,Pública,Cursando,2023,2G,Fase 3 (7° e 8° ano),-1,Agata,,7.459533333,6.985788509300001,2010-12-02 00:00:00,13,,,,Ametista,,,,4,Avaliador-19,,Avaliador-16,,Avaliador-25,Avaliador-2,,,9.502,7.3291925465,7.51,7.1875,,6.25,6.0,6.5,,,,6.75,5.0,,,,2024
RA-1055,Aluno-1055,Masculino,1J,EE Loris Nassif Mattar Profa,Pública,Cursando,2023,1J,Fase 3 (7° e 8° ano),-2,Agata,,5.9765,6.403040909100001,2012-02-18 00:00:00,12,,,,Quartzo,,,,4,Avaliador-16,,Avaliador-18,,Avaliador-15,Avaliador-2,,,10.002,5.7954545455,7.51,7.1875,,5.5,4.0,7.0,,,,5.87,5.0,,,,2024
RA-1056,Aluno-1056,Masculino,1L,EM Amanda Consuelo da Cunha,Pública,Cursando,2023,1L,Fase 2 (5° e 6° ano),-1,Topázio,,8.551741667,8.192009523800001,2014-04-30 00:00:00,10,,,,Topázio,,,,2,Avaliador-15,,Avaliador-2,,,,,,8.502,9.2857142855,7.51,9.166666667,,8.25,8.5,8.0,,,,8.335,5.0,,,,2024
RA-1057,Aluno-1057,Feminino,1L,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2023,1L,Fase 2 (5° e 6° ano),-1,Topázio,,8.4827,8.2352,2014-01-17 00:00:00,10,,,,Topázio,,,,2,Avaliador-15,,Avaliador-2,,,,,,10.002,10.0,6.26,8.75,,8.0,8.0,8.0,,,,8.17,5.0,,,,2024
